Public_MAG_ID	public_fasta_filename	original_fasta_filename	Unique_MAG_ID	genome_file	AT_BatchID	user_genome
RESPICAT_MAG_000001	RESPICAT_MAG_000001.fna	RESPICAT_LRT_B01_PRJNA687506_SRR13336586_MAG03.fasta	RESPICAT_LRT_B01_PRJNA687506_SRR13336586_MAG03	RESPICAT_LRT_B01_PRJNA687506_SRR13336586_MAG03.fasta	LRT_B01_PRJNA687506	MAG03
RESPICAT_MAG_000002	RESPICAT_MAG_000002.fna	RESPICAT_LRT_B01_PRJNA687506_SRR13340892_MAG08.fasta	RESPICAT_LRT_B01_PRJNA687506_SRR13340892_MAG08	RESPICAT_LRT_B01_PRJNA687506_SRR13340892_MAG08.fasta	LRT_B01_PRJNA687506	MAG08
RESPICAT_MAG_000003	RESPICAT_MAG_000003.fna	RESPICAT_LRT_B01_PRJNA687506_SRR13340963_MAG16.fasta	RESPICAT_LRT_B01_PRJNA687506_SRR13340963_MAG16	RESPICAT_LRT_B01_PRJNA687506_SRR13340963_MAG16.fasta	LRT_B01_PRJNA687506	MAG16
RESPICAT_MAG_000004	RESPICAT_MAG_000004.fna	RESPICAT_LRT_B01_PRJNA687506_SRR13341009_MAG17.fasta	RESPICAT_LRT_B01_PRJNA687506_SRR13341009_MAG17	RESPICAT_LRT_B01_PRJNA687506_SRR13341009_MAG17.fasta	LRT_B01_PRJNA687506	MAG17
RESPICAT_MAG_000005	RESPICAT_MAG_000005.fna	RESPICAT_LRT_B02_PRJEB29011_ERR4791620_MAG04.fasta	RESPICAT_LRT_B02_PRJEB29011_ERR4791620_MAG04	RESPICAT_LRT_B02_PRJEB29011_ERR4791620_MAG04.fasta	LRT_B02_PRJEB29011	MAG04
RESPICAT_MAG_000006	RESPICAT_MAG_000006.fna	RESPICAT_LRT_B02_PRJEB29011_ERR4791626_MAG07.fasta	RESPICAT_LRT_B02_PRJEB29011_ERR4791626_MAG07	RESPICAT_LRT_B02_PRJEB29011_ERR4791626_MAG07.fasta	LRT_B02_PRJEB29011	MAG07
RESPICAT_MAG_000007	RESPICAT_MAG_000007.fna	RESPICAT_LRT_B02_PRJEB29011_ERR4791631_MAG11.fasta	RESPICAT_LRT_B02_PRJEB29011_ERR4791631_MAG11	RESPICAT_LRT_B02_PRJEB29011_ERR4791631_MAG11.fasta	LRT_B02_PRJEB29011	MAG11
RESPICAT_MAG_000008	RESPICAT_MAG_000008.fna	RESPICAT_LRT_B02_PRJEB29011_ERR4791633_MAG12.fasta	RESPICAT_LRT_B02_PRJEB29011_ERR4791633_MAG12	RESPICAT_LRT_B02_PRJEB29011_ERR4791633_MAG12.fasta	LRT_B02_PRJEB29011	MAG12
RESPICAT_MAG_000009	RESPICAT_MAG_000009.fna	RESPICAT_LRT_B02_PRJEB29011_ERR4791635_MAG13.fasta	RESPICAT_LRT_B02_PRJEB29011_ERR4791635_MAG13	RESPICAT_LRT_B02_PRJEB29011_ERR4791635_MAG13.fasta	LRT_B02_PRJEB29011	MAG13
RESPICAT_MAG_000010	RESPICAT_MAG_000010.fna	RESPICAT_LRT_B02_PRJEB29011_ERR4791635_MAG17.fasta	RESPICAT_LRT_B02_PRJEB29011_ERR4791635_MAG17	RESPICAT_LRT_B02_PRJEB29011_ERR4791635_MAG17.fasta	LRT_B02_PRJEB29011	MAG17
RESPICAT_MAG_000011	RESPICAT_MAG_000011.fna	RESPICAT_LRT_B02_PRJEB29011_ERR4791644_MAG18.fasta	RESPICAT_LRT_B02_PRJEB29011_ERR4791644_MAG18	RESPICAT_LRT_B02_PRJEB29011_ERR4791644_MAG18.fasta	LRT_B02_PRJEB29011	MAG18
RESPICAT_MAG_000012	RESPICAT_MAG_000012.fna	RESPICAT_LRT_B02_PRJEB29011_ERR4791646_MAG19.fasta	RESPICAT_LRT_B02_PRJEB29011_ERR4791646_MAG19	RESPICAT_LRT_B02_PRJEB29011_ERR4791646_MAG19.fasta	LRT_B02_PRJEB29011	MAG19
RESPICAT_MAG_000013	RESPICAT_MAG_000013.fna	RESPICAT_LRT_B02_PRJEB29011_ERR4791661_MAG08.fasta	RESPICAT_LRT_B02_PRJEB29011_ERR4791661_MAG08	RESPICAT_LRT_B02_PRJEB29011_ERR4791661_MAG08.fasta	LRT_B02_PRJEB29011	MAG08
RESPICAT_MAG_000014	RESPICAT_MAG_000014.fna	RESPICAT_LRT_B02_PRJEB29011_ERR4853053_MAG23.fasta	RESPICAT_LRT_B02_PRJEB29011_ERR4853053_MAG23	RESPICAT_LRT_B02_PRJEB29011_ERR4853053_MAG23.fasta	LRT_B02_PRJEB29011	MAG23
RESPICAT_MAG_000015	RESPICAT_MAG_000015.fna	RESPICAT_LRT_B02_PRJEB29011_ERR4853095_MAG25.fasta	RESPICAT_LRT_B02_PRJEB29011_ERR4853095_MAG25	RESPICAT_LRT_B02_PRJEB29011_ERR4853095_MAG25.fasta	LRT_B02_PRJEB29011	MAG25
RESPICAT_MAG_000016	RESPICAT_MAG_000016.fna	RESPICAT_LRT_B02_PRJEB29011_ERR4853095_MAG26.fasta	RESPICAT_LRT_B02_PRJEB29011_ERR4853095_MAG26	RESPICAT_LRT_B02_PRJEB29011_ERR4853095_MAG26.fasta	LRT_B02_PRJEB29011	MAG26
RESPICAT_MAG_000017	RESPICAT_MAG_000017.fna	RESPICAT_LRT_B03_Bergen_noHuman-71289_MAG2.fasta	RESPICAT_LRT_B03_Bergen_noHuman-71289_MAG2	RESPICAT_LRT_B03_Bergen_noHuman-71289_MAG2.fasta	LRT_B03_Bergen	MAG2
RESPICAT_MAG_000018	RESPICAT_MAG_000018.fna	RESPICAT_LRT_B04_Multi_batch_SRR10590820_MAG03.fasta	RESPICAT_LRT_B04_Multi_batch_SRR10590820_MAG03	RESPICAT_LRT_B04_Multi_batch_SRR10590820_MAG03.fasta	LRT_B04_Multi_batch	MAG03
RESPICAT_MAG_000019	RESPICAT_MAG_000019.fna	RESPICAT_LRT_B04_Multi_batch_SRR11207267_MAG05.fasta	RESPICAT_LRT_B04_Multi_batch_SRR11207267_MAG05	RESPICAT_LRT_B04_Multi_batch_SRR11207267_MAG05.fasta	LRT_B04_Multi_batch	MAG05
RESPICAT_MAG_000020	RESPICAT_MAG_000020.fna	RESPICAT_LRT_B04_Multi_batch_SRR11207287_MAG06.fasta	RESPICAT_LRT_B04_Multi_batch_SRR11207287_MAG06	RESPICAT_LRT_B04_Multi_batch_SRR11207287_MAG06.fasta	LRT_B04_Multi_batch	MAG06
RESPICAT_MAG_000021	RESPICAT_MAG_000021.fna	RESPICAT_LRT_B06_Multi_batch_SRR12397836_MAG67.fasta	RESPICAT_LRT_B06_Multi_batch_SRR12397836_MAG67	RESPICAT_LRT_B06_Multi_batch_SRR12397836_MAG67.fasta	LRT_B06_Multi_batch	MAG67
RESPICAT_MAG_000022	RESPICAT_MAG_000022.fna	RESPICAT_LRT_B06_Multi_batch_SRR5395413_MAG36.fasta	RESPICAT_LRT_B06_Multi_batch_SRR5395413_MAG36	RESPICAT_LRT_B06_Multi_batch_SRR5395413_MAG36.fasta	LRT_B06_Multi_batch	MAG36
RESPICAT_MAG_000023	RESPICAT_MAG_000023.fna	RESPICAT_LRT_B06_Multi_batch_SRR8482115_MAG51.fasta	RESPICAT_LRT_B06_Multi_batch_SRR8482115_MAG51	RESPICAT_LRT_B06_Multi_batch_SRR8482115_MAG51.fasta	LRT_B06_Multi_batch	MAG51
RESPICAT_MAG_000024	RESPICAT_MAG_000024.fna	RESPICAT_LRT_B06_Multi_batch_SRR8482119_MAG53.fasta	RESPICAT_LRT_B06_Multi_batch_SRR8482119_MAG53	RESPICAT_LRT_B06_Multi_batch_SRR8482119_MAG53.fasta	LRT_B06_Multi_batch	MAG53
RESPICAT_MAG_000025	RESPICAT_MAG_000025.fna	RESPICAT_LRT_B06_Multi_batch_SRR8482119_MAG54.fasta	RESPICAT_LRT_B06_Multi_batch_SRR8482119_MAG54	RESPICAT_LRT_B06_Multi_batch_SRR8482119_MAG54.fasta	LRT_B06_Multi_batch	MAG54
RESPICAT_MAG_000026	RESPICAT_MAG_000026.fna	RESPICAT_LRT_B06_Multi_batch_SRR8482120_MAG55.fasta	RESPICAT_LRT_B06_Multi_batch_SRR8482120_MAG55	RESPICAT_LRT_B06_Multi_batch_SRR8482120_MAG55.fasta	LRT_B06_Multi_batch	MAG55
RESPICAT_MAG_000027	RESPICAT_MAG_000027.fna	RESPICAT_LRT_B06_Multi_batch_SRR8482143_MAG57.fasta	RESPICAT_LRT_B06_Multi_batch_SRR8482143_MAG57	RESPICAT_LRT_B06_Multi_batch_SRR8482143_MAG57.fasta	LRT_B06_Multi_batch	MAG57
RESPICAT_MAG_000028	RESPICAT_MAG_000028.fna	RESPICAT_LRT_B06_Multi_batch_SRR8482163_MAG45.fasta	RESPICAT_LRT_B06_Multi_batch_SRR8482163_MAG45	RESPICAT_LRT_B06_Multi_batch_SRR8482163_MAG45.fasta	LRT_B06_Multi_batch	MAG45
RESPICAT_MAG_000029	RESPICAT_MAG_000029.fna	RESPICAT_LRT_B06_Multi_batch_SRR8731662_MAG42.fasta	RESPICAT_LRT_B06_Multi_batch_SRR8731662_MAG42	RESPICAT_LRT_B06_Multi_batch_SRR8731662_MAG42.fasta	LRT_B06_Multi_batch	MAG42
RESPICAT_MAG_000030	RESPICAT_MAG_000030.fna	RESPICAT_LRT_B06_Multi_batch_SRR8731670_MAG43.fasta	RESPICAT_LRT_B06_Multi_batch_SRR8731670_MAG43	RESPICAT_LRT_B06_Multi_batch_SRR8731670_MAG43.fasta	LRT_B06_Multi_batch	MAG43
RESPICAT_MAG_000031	RESPICAT_MAG_000031.fna	RESPICAT_LRT_B06_Multi_batch_SRR8731670_MAG48.fasta	RESPICAT_LRT_B06_Multi_batch_SRR8731670_MAG48	RESPICAT_LRT_B06_Multi_batch_SRR8731670_MAG48.fasta	LRT_B06_Multi_batch	MAG48
RESPICAT_MAG_000032	RESPICAT_MAG_000032.fna	RESPICAT_RT_B07_Multi_batch_SRR13340890_MAG002.fasta	RESPICAT_RT_B07_Multi_batch_SRR13340890_MAG002	RESPICAT_RT_B07_Multi_batch_SRR13340890_MAG002.fasta	RT_B07_Multi_batch	MAG002
RESPICAT_MAG_000033	RESPICAT_MAG_000033.fna	RESPICAT_RT_B07_Multi_batch_SRR13340890_MAG009.fasta	RESPICAT_RT_B07_Multi_batch_SRR13340890_MAG009	RESPICAT_RT_B07_Multi_batch_SRR13340890_MAG009.fasta	RT_B07_Multi_batch	MAG009
RESPICAT_MAG_000034	RESPICAT_MAG_000034.fna	RESPICAT_RT_B07_Multi_batch_SRR13340891_MAG012.fasta	RESPICAT_RT_B07_Multi_batch_SRR13340891_MAG012	RESPICAT_RT_B07_Multi_batch_SRR13340891_MAG012.fasta	RT_B07_Multi_batch	MAG012
RESPICAT_MAG_000035	RESPICAT_MAG_000035.fna	RESPICAT_RT_B07_Multi_batch_SRR13340891_MAG017.fasta	RESPICAT_RT_B07_Multi_batch_SRR13340891_MAG017	RESPICAT_RT_B07_Multi_batch_SRR13340891_MAG017.fasta	RT_B07_Multi_batch	MAG017
RESPICAT_MAG_000036	RESPICAT_MAG_000036.fna	RESPICAT_RT_B07_Multi_batch_SRR13340891_MAG018.fasta	RESPICAT_RT_B07_Multi_batch_SRR13340891_MAG018	RESPICAT_RT_B07_Multi_batch_SRR13340891_MAG018.fasta	RT_B07_Multi_batch	MAG018
RESPICAT_MAG_000037	RESPICAT_MAG_000037.fna	RESPICAT_RT_B07_Multi_batch_SRR13340891_MAG019.fasta	RESPICAT_RT_B07_Multi_batch_SRR13340891_MAG019	RESPICAT_RT_B07_Multi_batch_SRR13340891_MAG019.fasta	RT_B07_Multi_batch	MAG019
RESPICAT_MAG_000038	RESPICAT_MAG_000038.fna	RESPICAT_RT_B07_Multi_batch_SRR13340901_MAG025.fasta	RESPICAT_RT_B07_Multi_batch_SRR13340901_MAG025	RESPICAT_RT_B07_Multi_batch_SRR13340901_MAG025.fasta	RT_B07_Multi_batch	MAG025
RESPICAT_MAG_000039	RESPICAT_MAG_000039.fna	RESPICAT_RT_B07_Multi_batch_SRR13340901_MAG029.fasta	RESPICAT_RT_B07_Multi_batch_SRR13340901_MAG029	RESPICAT_RT_B07_Multi_batch_SRR13340901_MAG029.fasta	RT_B07_Multi_batch	MAG029
