Public_MAG_ID	Domain	phylum	class	order	family	genus	species	no_species_assignment
RESPICAT_MAG_000001	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria	NA	TRUE
RESPICAT_MAG_000002	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella oxytoca	FALSE
RESPICAT_MAG_000003	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Serratia	Serratia marcescens_K	FALSE
RESPICAT_MAG_000004	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Proteus	Proteus mirabilis	FALSE
RESPICAT_MAG_000005	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus paracasei	FALSE
RESPICAT_MAG_000006	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria	Neisseria gonorrhoeae	FALSE
RESPICAT_MAG_000007	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa	FALSE
RESPICAT_MAG_000008	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus sp900766505	FALSE
RESPICAT_MAG_000009	Bacteria	Bacillota_A	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Peptostreptococcus	Peptostreptococcus stomatis	FALSE
RESPICAT_MAG_000010	Bacteria	Bacillota	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Bulleidia	Bulleidia extructa	FALSE
RESPICAT_MAG_000011	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas maltophilia_A	FALSE
RESPICAT_MAG_000012	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas maltophilia	FALSE
RESPICAT_MAG_000013	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae	FALSE
RESPICAT_MAG_000014	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	NA	NA	TRUE
RESPICAT_MAG_000015	Bacteria	Actinomycetota	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium namnetense	FALSE
RESPICAT_MAG_000016	Bacteria	Actinomycetota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Lawsonella	Lawsonella clevelandensis_A	FALSE
RESPICAT_MAG_000017	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Microbacteriaceae	Tropheryma	Tropheryma whipplei	FALSE
RESPICAT_MAG_000018	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella denticola	FALSE
RESPICAT_MAG_000019	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Nanosynbacteraceae	Nanosynbacter	NA	TRUE
RESPICAT_MAG_000020	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Micrococcaceae	Rothia	NA	TRUE
RESPICAT_MAG_000021	Bacteria	Bacillota_C	Negativicutes	Selenomonadales	Selenomonadaceae	Selenomonas	Selenomonas sp916438625	FALSE
RESPICAT_MAG_000022	Bacteria	Patescibacteria	JAEDAM01	Absconditabacterales	Absconditicoccaceae	HOT-345	HOT-345 sp013333295	FALSE
RESPICAT_MAG_000023	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria	Neisseria perflava	FALSE
RESPICAT_MAG_000024	Bacteria	Bacillota_C	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella nakazawae	FALSE
RESPICAT_MAG_000025	Bacteria	Bacillota	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Bulleidia	Bulleidia sp900554555	FALSE
RESPICAT_MAG_000026	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Actinomycetaceae	Pauljensenia	Pauljensenia sp019425105	FALSE
RESPICAT_MAG_000027	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus parasanguinis	FALSE
RESPICAT_MAG_000028	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus parasanguinis_E	FALSE
RESPICAT_MAG_000029	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus	FALSE
RESPICAT_MAG_000030	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella histicola	FALSE
RESPICAT_MAG_000031	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus gordonii	FALSE
RESPICAT_MAG_000032	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella disiens	FALSE
RESPICAT_MAG_000033	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella marshii	FALSE
RESPICAT_MAG_000034	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA4285	UBA4285 sp900542465	FALSE
RESPICAT_MAG_000035	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus constellatus	FALSE
RESPICAT_MAG_000036	Bacteria	Bacillota_A	Clostridia	Tissierellales	Peptoniphilaceae	Parvimonas	Parvimonas sp000214475	FALSE
RESPICAT_MAG_000037	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Actinomycetaceae	Pauljensenia	Pauljensenia sp916438945	FALSE
RESPICAT_MAG_000038	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium vaginale_E	FALSE
RESPICAT_MAG_000039	Bacteria	Bacillota	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Bulleidia	Bulleidia sp015256775	FALSE
RESPICAT_MAG_000040	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Catonella	NA	TRUE
RESPICAT_MAG_000041	Bacteria	Actinomycetota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Corynebacterium	Corynebacterium sp900539985	FALSE
RESPICAT_MAG_000042	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Lancefieldella	NA	TRUE
RESPICAT_MAG_000043	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Actinomycetaceae	Pauljensenia	NA	TRUE
RESPICAT_MAG_000044	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Actinomycetaceae	Pauljensenia	Pauljensenia odontolytica_B	FALSE
RESPICAT_MAG_000045	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Lancefieldella	NA	TRUE
RESPICAT_MAG_000046	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp013333285	FALSE
RESPICAT_MAG_000047	Bacteria	Bacillota_A	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Peptostreptococcus	Peptostreptococcus anaerobius	FALSE
