Public_MAG_ID	public_fasta_filename	genome_file	AT_BatchID	user_genome	Domain	phylum	class	order	family	genus	species	no_species_assignment	Completeness	Contamination	Strain_heterogeneity	Size	N50
RESPICAT_MAG_000001	RESPICAT_MAG_000001.fna	RESPICAT_LRT_B01_PRJNA687506_SRR13336586_MAG03.fasta	LRT_B01_PRJNA687506	MAG03	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria	NA	TRUE	99.7	0	0	2484281	95010
RESPICAT_MAG_000002	RESPICAT_MAG_000002.fna	RESPICAT_LRT_B01_PRJNA687506_SRR13340892_MAG08.fasta	LRT_B01_PRJNA687506	MAG08	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella oxytoca	FALSE	100	0.07	0	5737903	176962
RESPICAT_MAG_000003	RESPICAT_MAG_000003.fna	RESPICAT_LRT_B01_PRJNA687506_SRR13340963_MAG16.fasta	LRT_B01_PRJNA687506	MAG16	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Serratia	Serratia marcescens_K	FALSE	99.8	0	0	5141030	389559
RESPICAT_MAG_000004	RESPICAT_MAG_000004.fna	RESPICAT_LRT_B01_PRJNA687506_SRR13341009_MAG17.fasta	LRT_B01_PRJNA687506	MAG17	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Proteus	Proteus mirabilis	FALSE	100	0	0	3902080	127314
RESPICAT_MAG_000005	RESPICAT_MAG_000005.fna	RESPICAT_LRT_B02_PRJEB29011_ERR4791620_MAG04.fasta	LRT_B02_PRJEB29011	MAG04	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus paracasei	FALSE	99.46	0	0	2893636	74262
RESPICAT_MAG_000006	RESPICAT_MAG_000006.fna	RESPICAT_LRT_B02_PRJEB29011_ERR4791626_MAG07.fasta	LRT_B02_PRJEB29011	MAG07	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria	Neisseria gonorrhoeae	FALSE	97.89	0.45	33.33	1931457	21278
RESPICAT_MAG_000007	RESPICAT_MAG_000007.fna	RESPICAT_LRT_B02_PRJEB29011_ERR4791631_MAG11.fasta	LRT_B02_PRJEB29011	MAG11	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa	FALSE	99.68	0.17	0	6536558	199854
RESPICAT_MAG_000008	RESPICAT_MAG_000008.fna	RESPICAT_LRT_B02_PRJEB29011_ERR4791633_MAG12.fasta	LRT_B02_PRJEB29011	MAG12	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus sp900766505	FALSE	96.46	2.6	33.33	2081826	9438
RESPICAT_MAG_000009	RESPICAT_MAG_000009.fna	RESPICAT_LRT_B02_PRJEB29011_ERR4791635_MAG13.fasta	LRT_B02_PRJEB29011	MAG13	Bacteria	Bacillota_A	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Peptostreptococcus	Peptostreptococcus stomatis	FALSE	98.6	0	0	1756672	45535
RESPICAT_MAG_000010	RESPICAT_MAG_000010.fna	RESPICAT_LRT_B02_PRJEB29011_ERR4791635_MAG17.fasta	LRT_B02_PRJEB29011	MAG17	Bacteria	Bacillota	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Bulleidia	Bulleidia extructa	FALSE	97.62	0.79	0	1324616	32632
RESPICAT_MAG_000011	RESPICAT_MAG_000011.fna	RESPICAT_LRT_B02_PRJEB29011_ERR4791644_MAG18.fasta	LRT_B02_PRJEB29011	MAG18	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas maltophilia_A	FALSE	100	0	0	4463272	145084
RESPICAT_MAG_000012	RESPICAT_MAG_000012.fna	RESPICAT_LRT_B02_PRJEB29011_ERR4791646_MAG19.fasta	LRT_B02_PRJEB29011	MAG19	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas maltophilia	FALSE	100	0.05	0	4689790	168562
RESPICAT_MAG_000013	RESPICAT_MAG_000013.fna	RESPICAT_LRT_B02_PRJEB29011_ERR4791661_MAG08.fasta	LRT_B02_PRJEB29011	MAG08	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae	FALSE	98.62	0.2	0	1905062	60174
RESPICAT_MAG_000014	RESPICAT_MAG_000014.fna	RESPICAT_LRT_B02_PRJEB29011_ERR4853053_MAG23.fasta	LRT_B02_PRJEB29011	MAG23	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	NA	NA	TRUE	99.59	2.84	0	4131945	34507
RESPICAT_MAG_000015	RESPICAT_MAG_000015.fna	RESPICAT_LRT_B02_PRJEB29011_ERR4853095_MAG25.fasta	LRT_B02_PRJEB29011	MAG25	Bacteria	Actinomycetota	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium namnetense	FALSE	98.46	0.33	100	2393033	135283
RESPICAT_MAG_000016	RESPICAT_MAG_000016.fna	RESPICAT_LRT_B02_PRJEB29011_ERR4853095_MAG26.fasta	LRT_B02_PRJEB29011	MAG26	Bacteria	Actinomycetota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Lawsonella	Lawsonella clevelandensis_A	FALSE	95	0	0	1633616	259639
RESPICAT_MAG_000017	RESPICAT_MAG_000017.fna	RESPICAT_LRT_B03_Bergen_noHuman-71289_MAG2.fasta	LRT_B03_Bergen	MAG2	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Microbacteriaceae	Tropheryma	Tropheryma whipplei	FALSE	69.15	0.1	0	760826	20162
RESPICAT_MAG_000018	RESPICAT_MAG_000018.fna	RESPICAT_LRT_B04_Multi_batch_SRR10590820_MAG03.fasta	LRT_B04_Multi_batch	MAG03	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella denticola	FALSE	98.87	0	0	2774678	94131
RESPICAT_MAG_000019	RESPICAT_MAG_000019.fna	RESPICAT_LRT_B04_Multi_batch_SRR11207267_MAG05.fasta	LRT_B04_Multi_batch	MAG05	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Nanosynbacteraceae	Nanosynbacter	NA	TRUE	64.96	0	0	772091	40634
RESPICAT_MAG_000020	RESPICAT_MAG_000020.fna	RESPICAT_LRT_B04_Multi_batch_SRR11207287_MAG06.fasta	LRT_B04_Multi_batch	MAG06	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Micrococcaceae	Rothia	NA	TRUE	97.24	1.67	25	2164101	26484
RESPICAT_MAG_000021	RESPICAT_MAG_000021.fna	RESPICAT_LRT_B06_Multi_batch_SRR12397836_MAG67.fasta	LRT_B06_Multi_batch	MAG67	Bacteria	Bacillota_C	Negativicutes	Selenomonadales	Selenomonadaceae	Selenomonas	Selenomonas sp916438625	FALSE	97.34	1.21	0	2350352	60431
RESPICAT_MAG_000022	RESPICAT_MAG_000022.fna	RESPICAT_LRT_B06_Multi_batch_SRR5395413_MAG36.fasta	LRT_B06_Multi_batch	MAG36	Bacteria	Patescibacteria	JAEDAM01	Absconditabacterales	Absconditicoccaceae	HOT-345	HOT-345 sp013333295	FALSE	59.69	0	0	963945	120234
